trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.25, 'e': 0.11789673660701916}",20,4,4.680461583355445,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.25, 'e': 0.11660296916113944}",20,16,7.762676535166815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.25, 'e': 0.11532154307399511}",25,9,20.710843651405426,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.25, 'e': 0.1140523812797909}",25,0,33.96553422464445,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.25, 'e': 0.1127954062828932}",25,0,-13.857790173516502,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
166,False,"{'a': 0.25, 'e': 0.11155054018289645}",20,8,20.648766943461506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.25, 'e': 0.11031770469927316}",30,20,20.337153521263872,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.25, 'e': 0.10909682119561293}",25,12,24.434732512180798,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.25, 'e': 0.10788781070344566}",20,15,10.611041288152515,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.25, 'e': 0.10669059394565128}",30,19,23.41821655335935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.25, 'e': 0.10550509135945352}",25,0,10.726263689951322,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.25, 'e': 0.10433122311900134}",25,16,3.5717117084309074,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.25, 'e': 0.10316890915753318}",20,0,25.883084377317633,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.25, 'e': 0.10201806918913048}",25,0,15.084590475577599,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.25, 'e': 0.10087862273005643}",25,14,22.915106249288904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.25, 'e': 0.0997504891196852}",20,0,34.802674832465044,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.25, 'e': 0.0986335875410177}",20,4,28.671162787449177,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.25, 'e': 0.09752783704079249}",20,12,13.642567483057503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.25, 'e': 0.09643315654918605}",25,13,22.11819872970014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.25, 'e': 0.09534946489910945}",20,0,27.49261649123011,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.25, 'e': 0.09427668084510221}",20,0,-10.830125109363358,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
182,False,"{'a': 0.25, 'e': 0.09321472308182366}",20,3,23.8890027146943,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
